Frequency (Hz)	Level (dB)
0.488281	-92.957825
0.976562	-90.004799
1.464844	-87.622787
1.953125	-85.632469
2.441406	-83.308517
2.929688	-81.737373
3.417969	-80.351524
3.906250	-78.643059
4.394531	-77.257858
4.882812	-76.181770
5.371094	-74.951553
5.859375	-73.980225
6.347656	-73.090630
6.835938	-72.263306
7.324219	-71.115585
7.812500	-70.371735
8.300781	-69.619667
8.789062	-68.858597
9.277344	-68.222870
9.765625	-67.528496
10.253906	-66.956459
10.742188	-66.292007
11.230469	-66.069656
11.718750	-65.509575
12.207031	-64.796173
12.695312	-64.510162
13.183594	-63.949570
13.671875	-63.556263
14.160156	-63.144180
14.648438	-63.052338
15.136719	-62.494484
15.625000	-62.002029
16.113281	-61.899670
16.601562	-61.371101
17.089844	-61.157269
17.578125	-61.014614
18.066406	-60.655640
18.554688	-60.024067
19.042969	-60.087650
19.531250	-59.958809
20.019531	-59.699291
20.507812	-59.347504
20.996094	-59.400917
21.484375	-59.066189
21.972656	-58.885414
22.460938	-58.561802
22.949219	-58.113155
23.437500	-57.950413
23.925781	-58.065144
24.414062	-57.814548
24.902344	-57.267506
25.390625	-57.267025
25.878906	-57.477142
26.367188	-57.127975
26.855469	-57.015770
27.343750	-56.513660
27.832031	-57.189266
28.320312	-56.752895
28.808594	-56.560085
29.296875	-56.729183
29.785156	-56.314262
30.273438	-56.183365
30.761719	-55.945229
31.250000	-56.007374
31.738281	-55.834724
32.226562	-55.970314
32.714844	-55.939106
33.203125	-55.696560
33.691406	-55.642902
34.179688	-55.638588
34.667969	-55.246368
35.156250	-55.020496
35.644531	-55.225140
36.132812	-55.603050
36.621094	-55.414112
37.109375	-55.433212
37.597656	-55.565647
38.085938	-55.136292
38.574219	-55.071186
39.062500	-55.645538
39.550781	-55.141178
40.039062	-54.951099
40.527344	-55.297924
41.015625	-55.075977
41.503906	-55.245998
41.992188	-55.235069
42.480469	-54.783524
42.968750	-54.469208
43.457031	-54.351669
43.945312	-55.157139
44.433594	-54.837948
44.921875	-55.194569
45.410156	-55.167961
45.898438	-55.352077
46.386719	-54.931480
46.875000	-54.727570
47.363281	-55.436924
47.851562	-54.896084
48.339844	-55.509163
48.828125	-55.219929
49.316406	-55.532848
49.804688	-56.341515
50.292969	-56.128147
50.781250	-55.612774
51.269531	-55.403790
51.757812	-55.637905
52.246094	-56.352505
52.734375	-56.152512
53.222656	-55.574661
53.710938	-56.498363
54.199219	-57.040478
54.687500	-55.868523
55.175781	-56.398178
55.664062	-56.319233
56.152344	-56.320114
56.640625	-56.771278
57.128906	-57.044411
57.617188	-57.078098
58.105469	-57.613056
58.593750	-56.662682
59.082031	-56.744926
59.570312	-57.133694
60.058594	-58.152348
60.546875	-57.316917
61.035156	-57.728336
61.523438	-58.541100
62.011719	-59.088985
62.500000	-58.331406
62.988281	-58.749199
63.476562	-58.858803
63.964844	-57.897648
64.453125	-59.293438
64.941406	-59.378475
65.429688	-58.614155
65.917969	-58.931271
66.406250	-59.234219
66.894531	-59.076130
67.382812	-59.311218
67.871094	-60.754578
68.359375	-60.208633
68.847656	-59.349972
69.335938	-59.902031
69.824219	-61.439823
70.312500	-61.371227
70.800781	-61.350979
71.289062	-61.820820
71.777344	-61.408707
