Frequency (Hz)	Level (dB)				
1487.136841	-58.739033				
1488.482666	-58.146347				
1489.828491	-58.528343				
1491.174316	-57.721855				
1492.520142	-57.265697				
1493.865967	-58.211971				
1495.211792	-57.985054				
1496.557617	-58.105606				
1497.903442	-57.396149				
1499.249268	-56.372932				
1500.595093	-57.950779				
1501.940918	-58.979946				
1503.286743	-56.964745				
1504.632568	-57.759247				
1505.978394	-56.172993				
1507.324219	-56.444221				
1508.670044	-57.262531				
1510.015869	-55.952461				
1511.361694	-55.778004				
1512.70752	-57.577793				
1514.053345	-56.880939				
1515.39917	-54.890408				
1516.744995	-55.682026				
1518.09082	-54.981911				
1519.436646	-54.47966				
1520.782471	-54.870056				
1522.128296	-55.537708				
1523.474121	-56.484032				
1524.819946	-54.811363				
1526.165771	-55.120033				
1527.511597	-55.393456				
1528.857422	-56.338417				
1530.203247	-55.116642				
1531.549072	-55.089523				
1532.894897	-55.054939				
1534.240723	-55.358646				
1535.586548	-54.689285				
1536.932373	-53.873707				
1538.278198	-55.282558				
1539.624023	-54.725494				
1540.969849	-54.837761				
1542.315674	-54.030388				
1543.661499	-53.047218				
1545.007324	-53.534733				
1546.353149	-53.347225				
1547.698975	-52.96373				
1549.0448	-52.339382				
1550.390625	-52.490421				
1551.73645	-51.986176				
1553.082275	-53.970619				
1554.428101	-53.053429				
1555.773926	-53.325317				
1557.119751	-53.054478				
1558.465576	-51.784492				
1559.811401	-52.487915				
1561.157227	-51.1535				
1562.503052	-52.318523				
1563.848877	-52.319653				
1565.194702	-52.592556				
1566.540527	-51.540661				
1567.886353	-51.701431				
1569.232178	-50.533092				
1570.578003	-51.392071				
1571.923828	-50.845146				
1573.269653	-50.407291				
1574.615479	-51.266384				
1575.961304	-49.678135				
1577.307129	-51.543755				
1578.652954	-50.328274				
1579.998779	-50.455826				
1581.344604	-50.374466				
1582.69043	-49.174778				
1584.036255	-49.878098				
1585.38208	-49.565502				
1586.727905	-49.948322				
1588.07373	-48.883591				
1589.419556	-47.726902				
1590.765381	-49.898499				
1592.111206	-49.192085				
1593.457031	-48.45179				
1594.802856	-48.387791				
1596.148682	-48.706718				
1597.494507	-47.539005				
