Frequency (Hz)	Level (dB)
0.488281	-96.484261
0.976562	-96.433601
1.464844	-96.483154
1.953125	-96.464371
2.441406	-96.742905
2.929688	-96.062424
3.417969	-96.457535
3.906250	-96.234741
4.394531	-96.143600
4.882812	-96.089912
5.371094	-95.759956
5.859375	-96.332947
6.347656	-94.480804
6.835938	-96.933380
7.324219	-95.625053
7.812500	-95.657860
8.300781	-95.452271
8.789062	-95.400291
9.277344	-95.710335
9.765625	-93.153191
10.253906	-92.150940
10.742188	-91.153152
11.230469	-91.554092
11.718750	-90.725136
12.207031	-90.516075
12.695312	-91.229523
13.183594	-90.766556
13.671875	-91.387589
14.160156	-91.280861
14.648438	-91.475876
15.136719	-88.385391
15.625000	-90.321236
16.113281	-89.803360
16.601562	-90.205109
17.089844	-88.431595
17.578125	-88.932648
18.066406	-87.746498
18.554688	-87.157814
19.042969	-87.498825
19.531250	-87.326073
20.019531	-87.635696
20.507812	-88.240768
20.996094	-87.640579
21.484375	-86.411095
21.972656	-84.977325
22.460938	-83.146973
22.949219	-82.106110
23.437500	-84.445999
23.925781	-83.803429
24.414062	-86.667297
24.902344	-84.283653
25.390625	-82.795074
25.878906	-85.570885
26.367188	-86.709167
26.855469	-82.957718
27.343750	-82.813629
27.832031	-82.620613
28.320312	-84.102684
28.808594	-85.734314
29.296875	-83.992844
29.785156	-80.064186
30.273438	-83.269424
30.761719	-82.705574
31.250000	-84.498093
31.738281	-81.473175
32.226562	-83.078674
32.714844	-82.672829
33.203125	-83.762093
33.691406	-83.338547
34.179688	-83.851852
34.667969	-81.844978
35.156250	-78.387230
35.644531	-80.534081
36.132812	-82.877327
36.621094	-82.828590
37.109375	-80.567329
37.597656	-81.927536
38.085938	-82.066086
38.574219	-83.612579
39.062500	-82.285133
39.550781	-80.720131
40.039062	-80.914909
40.527344	-80.613281
41.015625	-79.143112
41.503906	-80.662323
41.992188	-79.128502
42.480469	-78.977615
42.968750	-81.029716
43.457031	-79.721504
43.945312	-77.103043
44.433594	-76.696701
44.921875	-77.829346
45.410156	-77.650139
45.898438	-78.390152
46.386719	-78.556702
46.875000	-77.996307
47.363281	-79.154922
47.851562	-79.159386
48.339844	-76.468102
48.828125	-78.980728
49.316406	-78.088219
49.804688	-75.262009
50.292969	-77.971657
50.781250	-77.153557
51.269531	-75.802864
51.757812	-75.760933
52.246094	-78.315773
52.734375	-75.193146
53.222656	-77.778114
53.710938	-76.102013
54.199219	-75.189514
54.687500	-75.156616
55.175781	-75.959305
55.664062	-74.124252
56.152344	-75.287735
56.640625	-72.843506
57.128906	-75.284866
57.617188	-76.308990
58.105469	-73.920853
58.593750	-72.214424
59.082031	-72.106369
59.570312	-70.640518
60.058594	-71.985672
60.546875	-73.432709
61.035156	-71.393188
61.523438	-70.943817
62.011719	-71.404755
62.500000	-72.233391
62.988281	-73.548874
63.476562	-74.110718
63.964844	-73.946655
64.453125	-78.064125
64.941406	-77.208527
65.429688	-79.216583
65.917969	-76.524445
66.406250	-75.507988
66.894531	-77.340439
67.382812	-78.415421
67.871094	-78.976089
68.359375	-77.254402
68.847656	-77.383682
69.335938	-77.286865
69.824219	-76.764496
70.312500	-77.014702
70.800781	-76.617424
71.289062	-75.928833
71.777344	-77.190247
72.265625	-76.936592
72.753906	-75.473534
73.242188	-74.100616
73.730469	-73.556602
74.218750	-72.291298
74.707031	-71.088745
75.195312	-75.012428
75.683594	-71.194595
76.171875	-75.272865
76.660156	-72.205315
77.148438	-76.128494
77.636719	-74.466309
78.125000	-75.952789
78.613281	-76.496353
79.101562	-77.863892
79.589844	-78.825279
80.078125	-78.752472
80.566406	-77.220390
81.054688	-79.579910
81.542969	-78.902039
82.031250	-78.076088
82.519531	-76.234825
83.007812	-77.586914
83.496094	-75.907753
83.984375	-76.224922
84.472656	-73.054520
84.960938	-73.195854
85.449219	-73.163055
85.937500	-75.345047
86.425781	-71.909019
86.914062	-72.906837
87.402344	-74.068916
87.890625	-74.969826
88.378906	-72.681770
88.867188	-74.779007
89.355469	-75.175224
89.843750	-74.036446
90.332031	-74.009071
90.820312	-72.466805
91.308594	-74.500473
91.796875	-74.648964
92.285156	-74.019730
92.773438	-76.634605
93.261719	-76.919777
93.750000	-78.653107
94.238281	-77.129494
94.726562	-80.711166
95.214844	-77.536850
95.703125	-79.034294
96.191406	-78.726158
96.679688	-76.191490
97.167969	-78.840065
97.656250	-77.448280
98.144531	-78.429672
98.632812	-79.157516
99.121094	-78.375679
99.609375	-78.338844
100.097656	-78.223801
100.585938	-77.974190
101.074219	-80.444283
101.562500	-77.651863
102.050781	-77.037254
102.539062	-77.574638
103.027344	-75.809441
103.515625	-74.881172
104.003906	-77.167839
104.492188	-77.796082
104.980469	-75.285393
105.468750	-75.646317
105.957031	-76.056694
106.445312	-77.539139
106.933594	-78.640656
107.421875	-78.659187
107.910156	-79.645798
108.398438	-80.484818
108.886719	-78.261208
109.375000	-78.545036
109.863281	-79.445282
110.351562	-78.034058
110.839844	-79.176247
111.328125	-77.165817
111.816406	-76.557899
112.304688	-79.137749
112.792969	-76.901131
113.281250	-74.064743
113.769531	-72.141350
114.257812	-74.229187
114.746094	-73.086212
115.234375	-75.982750
115.722656	-80.530518
116.210938	-78.562614
116.699219	-77.760284
117.187500	-78.643257
117.675781	-79.174568
118.164062	-78.076241
118.652344	-75.035606
119.140625	-76.636108
119.628906	-76.606514
120.117188	-77.633751
120.605469	-78.325386
121.093750	-78.347923
121.582031	-77.349327
122.070312	-77.299141
122.558594	-77.098259
123.046875	-77.976936
123.535156	-79.209335
124.023438	-77.647736
124.511719	-78.915390
125.000000	-78.383934
125.488281	-78.269577
125.976562	-78.146545
