Frequency (Hz)	Level (dB)
0.244141	-101.806694
0.488281	-101.655373
0.732422	-101.699265
0.976562	-101.736069
1.220703	-101.802414
1.464844	-101.481102
1.708984	-101.798866
1.953125	-101.579269
2.197266	-101.567856
2.441406	-102.227959
2.685547	-101.815887
2.929688	-101.141891
3.173828	-101.056992
3.417969	-101.767860
3.662109	-101.876358
3.906250	-98.478249
4.150391	-100.144142
4.394531	-100.745819
4.638672	-101.871323
4.882812	-100.525978
5.126953	-100.198151
5.371094	-98.475769
5.615234	-97.965874
5.859375	-99.331146
6.103516	-98.502518
6.347656	-97.262978
6.591797	-93.358101
6.835938	-98.847931
7.080078	-98.724701
7.324219	-97.929436
7.568359	-101.414001
7.812500	-99.231163
8.056641	-99.069290
8.300781	-98.461082
8.544922	-97.898796
8.789062	-99.478035
9.033203	-96.620972
9.277344	-100.080376
9.521484	-100.504951
9.765625	-96.702888
10.009766	-97.384666
10.253906	-93.189400
10.498047	-94.843452
10.742188	-93.053055
10.986328	-92.751030
11.230469	-87.441658
11.474609	-89.236076
11.718750	-93.963715
11.962891	-90.822975
12.207031	-96.050598
12.451172	-91.749069
12.695312	-89.077431
12.939453	-90.957817
13.183594	-86.464630
13.427734	-90.583862
13.671875	-89.057045
13.916016	-89.529442
14.160156	-90.076546
14.404297	-95.207001
14.648438	-90.187294
14.892578	-89.390625
15.136719	-89.501907
15.380859	-89.775299
15.625000	-90.981018
15.869141	-88.153236
16.113281	-89.958992
16.357422	-87.410805
16.601562	-87.297913
16.845703	-86.171890
17.089844	-88.359215
17.333984	-86.727104
17.578125	-84.617706
17.822266	-91.610886
18.066406	-87.066559
18.310547	-84.925560
18.554688	-88.272804
18.798828	-87.316002
19.042969	-83.634590
19.287109	-87.031219
19.531250	-87.736542
19.775391	-87.923691
20.019531	-86.172981
20.263672	-88.621132
20.507812	-88.398689
20.751953	-88.144722
20.996094	-86.122116
21.240234	-87.881493
21.484375	-88.733055
21.728516	-88.449165
21.972656	-81.612381
22.216797	-84.313423
22.460938	-84.821419
22.705078	-83.114250
22.949219	-82.600746
23.193359	-81.059143
23.437500	-81.084511
23.681641	-83.341003
23.925781	-85.267982
24.169922	-85.944038
24.414062	-85.572205
24.658203	-84.085518
24.902344	-86.742439
25.146484	-83.772461
25.390625	-82.239258
25.634766	-82.700874
25.878906	-83.255333
26.123047	-84.183990
26.367188	-83.756088
26.611328	-84.231300
26.855469	-82.780678
27.099609	-80.454620
27.343750	-83.443123
27.587891	-87.421112
27.832031	-82.701775
28.076172	-83.574524
28.320312	-82.266037
28.564453	-83.688423
28.808594	-84.905479
29.052734	-86.523438
29.296875	-84.349899
29.541016	-78.416130
29.785156	-78.693619
30.029297	-81.725739
30.273438	-83.959869
30.517578	-83.948242
30.761719	-79.915550
31.005859	-81.266304
31.250000	-83.775627
31.494141	-85.709633
31.738281	-83.213074
31.982422	-83.223999
32.226562	-81.836815
32.470703	-83.933258
32.714844	-80.424568
32.958984	-82.413765
33.203125	-83.066185
33.447266	-79.243233
33.691406	-83.523674
33.935547	-82.827316
34.179688	-82.267365
34.423828	-81.800919
34.667969	-80.735588
34.912109	-81.869102
35.156250	-81.077927
35.400391	-80.720604
35.644531	-76.035263
35.888672	-78.357170
36.132812	-83.437698
36.376953	-80.924065
36.621094	-80.550240
36.865234	-82.226746
37.109375	-82.784874
37.353516	-83.438972
37.597656	-83.591362
37.841797	-82.232300
38.085938	-83.993690
38.330078	-83.113937
38.574219	-80.742546
38.818359	-81.830170
39.062500	-80.171318
39.306641	-81.207169
39.550781	-80.821129
39.794922	-82.811157
40.039062	-82.251419
40.283203	-82.154404
40.527344	-78.829018
40.771484	-76.465630
41.015625	-81.514084
41.259766	-80.885635
41.503906	-79.196556
41.748047	-78.831779
41.992188	-79.395897
42.236328	-79.762375
42.480469	-80.794136
42.724609	-77.907501
42.968750	-81.627823
43.212891	-80.005333
43.457031	-81.856850
43.701172	-81.971741
43.945312	-79.071304
44.189453	-81.510826
44.433594	-78.763931
44.677734	-80.673325
44.921875	-78.438904
45.166016	-77.684013
45.410156	-77.987175
45.654297	-79.361519
45.898438	-77.452866
46.142578	-78.734985
46.386719	-79.295143
46.630859	-79.308037
46.875000	-78.543839
47.119141	-79.377800
47.363281	-80.019279
47.607422	-80.057953
47.851562	-78.665390
48.095703	-79.577301
48.339844	-79.142921
48.583984	-80.258980
48.828125	-76.149101
49.072266	-74.067162
49.316406	-77.099991
49.560547	-77.528542
49.804688	-79.617508
50.048828	-78.327240
50.292969	-75.697777
50.537109	-75.766441
50.781250	-79.956100
51.025391	-74.921814
51.269531	-77.404816
51.513672	-78.054306
51.757812	-76.843956
52.001953	-79.098984
52.246094	-78.194778
52.490234	-80.097610
52.734375	-80.284668
52.978516	-76.147011
53.222656	-76.092522
53.466797	-76.565460
53.710938	-76.408073
53.955078	-79.076149
54.199219	-77.352859
54.443359	-76.034302
54.687500	-78.763138
54.931641	-74.653313
55.175781	-74.468529
55.419922	-75.648796
55.664062	-74.159058
55.908203	-77.058266
56.152344	-74.299431
56.396484	-74.301178
56.640625	-76.041649
56.884766	-74.972137
57.128906	-74.077774
57.373047	-75.666222
57.617188	-78.172424
57.861328	-73.416809
58.105469	-75.696877
58.349609	-76.057869
58.593750	-72.247696
58.837891	-73.235847
59.082031	-74.224747
59.326172	-77.263153
59.570312	-76.287148
59.814453	-72.777740
60.058594	-74.458344
60.302734	-73.788284
60.546875	-73.297585
60.791016	-74.637321
61.035156	-73.178825
61.279297	-72.615059
61.523438	-74.060463
61.767578	-72.495224
62.011719	-73.504768
62.255859	-75.067970
62.500000	-71.880005
62.744141	-76.529549
62.988281	-72.005638
63.232422	-72.606934
63.476562	-74.627266
63.720703	-76.816109
63.964844	-74.456146
64.208984	-77.836250
64.453125	-80.271629
64.697266	-77.785088
64.941406	-79.329170
65.185547	-78.784294
65.429688	-78.011940
65.673828	-76.911102
65.917969	-78.095238
66.162109	-76.340385
66.406250	-80.879570
66.650391	-76.270256
66.894531	-80.213127
67.138672	-76.843712
67.382812	-79.340881
67.626953	-79.627724
67.871094	-76.080025
68.115234	-80.277710
68.359375	-80.106201
68.603516	-80.529930
68.847656	-78.203156
69.091797	-77.230255
69.335938	-77.661430
69.580078	-77.140129
69.824219	-76.528351
70.068359	-77.298187
70.312500	-78.184570
70.556641	-76.468987
70.800781	-79.684990
71.044922	-77.092407
71.289062	-75.976173
71.533203	-76.221664
71.777344	-75.559647
72.021484	-75.891541
72.265625	-78.227066
72.509766	-76.085182
72.753906	-74.645073
72.998047	-73.590256
73.242188	-72.412247
73.486328	-74.305397
73.730469	-75.968178
73.974609	-75.884354
74.218750	-75.522942
74.462891	-76.789711
74.707031	-81.925812
74.951172	-78.346161
75.195312	-73.380104
75.439453	-74.937874
75.683594	-74.612534
75.927734	-75.562820
76.171875	-73.708595
76.416016	-79.294792
76.660156	-76.586304
76.904297	-78.822708
77.148438	-78.916229
77.392578	-79.962791
77.636719	-78.262329
77.880859	-74.147209
78.125000	-74.334068
78.369141	-77.817039
78.613281	-76.970345
78.857422	-78.417793
79.101562	-76.527672
79.345703	-77.541351
79.589844	-78.932617
79.833984	-82.950668
80.078125	-77.602661
80.322266	-79.368263
80.566406	-79.574875
80.810547	-80.781067
81.054688	-77.088463
81.298828	-79.097260
81.542969	-79.533806
81.787109	-76.296761
82.031250	-76.960381
82.275391	-80.523376
82.519531	-76.420242
82.763672	-76.222916
83.007812	-76.029488
83.251953	-77.179649
83.496094	-75.368057
83.740234	-74.672852
83.984375	-75.414429
84.228516	-77.327065
84.472656	-78.892738
