Frequency (Hz)	Level (dB)
0.488281	-91.654953
0.976562	-92.154091
1.464844	-92.090820
1.953125	-92.072594
2.441406	-91.762474
2.929688	-92.206093
3.417969	-92.278252
3.906250	-91.519424
4.394531	-90.729454
4.882812	-91.562042
5.371094	-90.918510
5.859375	-91.246758
6.347656	-90.349312
6.835938	-90.051285
7.324219	-91.146385
7.812500	-91.288841
8.300781	-91.149445
8.789062	-90.169609
9.277344	-88.111351
9.765625	-86.853386
10.253906	-84.684425
10.742188	-84.049118
11.230469	-81.470848
11.718750	-80.064278
12.207031	-81.590408
12.695312	-80.627403
13.183594	-79.476440
13.671875	-79.674866
14.160156	-79.028786
14.648438	-78.860161
15.136719	-79.218315
15.625000	-78.821861
16.113281	-80.015167
16.601562	-79.631279
17.089844	-79.599556
17.578125	-81.256706
18.066406	-80.963959
18.554688	-81.083946
19.042969	-82.895767
19.531250	-80.878220
20.019531	-82.179672
20.507812	-84.079109
20.996094	-82.626869
21.484375	-81.638374
21.972656	-80.864731
22.460938	-81.017456
22.949219	-81.087753
23.437500	-79.929382
23.925781	-79.982552
24.414062	-82.308266
24.902344	-82.627518
25.390625	-81.664040
25.878906	-79.517395
26.367188	-79.622330
26.855469	-77.648552
27.343750	-79.389282
27.832031	-79.112267
28.320312	-79.184059
28.808594	-80.160507
29.296875	-78.911308
29.785156	-78.111794
30.273438	-79.794632
30.761719	-78.113861
31.250000	-77.543427
31.738281	-79.284119
32.226562	-79.760124
32.714844	-79.749428
33.203125	-78.172096
33.691406	-79.405075
34.179688	-78.958740
34.667969	-78.586189
35.156250	-79.605255
35.644531	-78.262840
36.132812	-77.320717
36.621094	-77.740280
37.109375	-76.122429
37.597656	-75.924950
38.085938	-75.300644
38.574219	-74.211014
39.062500	-76.166039
39.550781	-76.040321
40.039062	-74.596321
40.527344	-73.643913
41.015625	-74.165482
41.503906	-75.610909
41.992188	-73.919281
42.480469	-75.748055
42.968750	-75.151711
43.457031	-75.926773
43.945312	-77.537239
44.433594	-76.833870
44.921875	-77.329491
45.410156	-79.405670
45.898438	-78.801140
46.386719	-77.586426
46.875000	-77.259468
47.363281	-77.892105
47.851562	-76.295349
48.339844	-77.042580
48.828125	-76.816231
49.316406	-77.900826
49.804688	-77.754684
50.292969	-77.169098
50.781250	-75.524025
51.269531	-74.542030
51.757812	-75.481575
52.246094	-73.665833
52.734375	-75.362373
53.222656	-75.115646
53.710938	-73.005539
54.199219	-73.894127
54.687500	-72.263657
55.175781	-71.973763
55.664062	-72.805267
56.152344	-73.037209
56.640625	-72.151878
57.128906	-71.654739
57.617188	-71.277870
58.105469	-70.851074
58.593750	-70.809814
59.082031	-71.437798
59.570312	-73.071251
60.058594	-71.971786
60.546875	-71.756477
61.035156	-73.546036
61.523438	-72.251427
62.011719	-71.524361
62.500000	-70.386543
62.988281	-71.756218
63.476562	-71.743568
63.964844	-74.115379
64.453125	-74.599808
64.941406	-76.527664
65.429688	-76.703728
65.917969	-76.531624
66.406250	-74.883919
66.894531	-77.442970
67.382812	-75.707657
67.871094	-75.023178
68.359375	-75.590683
68.847656	-75.781746
69.335938	-75.090378
69.824219	-76.487900
70.312500	-74.339378
70.800781	-71.823227
71.289062	-76.185028
71.777344	-75.786163
72.265625	-75.431694
72.753906	-73.554977
73.242188	-73.042747
73.730469	-72.570259
74.218750	-73.711731
74.707031	-72.668350
75.195312	-71.625664
75.683594	-73.073219
76.171875	-75.013557
76.660156	-74.652596
77.148438	-74.491638
77.636719	-74.164627
78.125000	-73.927551
78.613281	-75.754143
79.101562	-76.394066
79.589844	-75.187523
80.078125	-75.918213
80.566406	-75.716476
81.054688	-76.262856
81.542969	-76.438362
82.031250	-77.192108
82.519531	-75.999649
83.007812	-73.986641
83.496094	-75.688690
83.984375	-75.576012
84.472656	-73.040382
84.960938	-74.218109
85.449219	-74.904289
85.937500	-72.906197
86.425781	-71.853676
86.914062	-73.596916
87.402344	-73.337914
87.890625	-74.616516
88.378906	-73.202721
88.867188	-73.210388
89.355469	-75.998398
89.843750	-74.178520
90.332031	-73.198578
90.820312	-72.598282
91.308594	-73.641037
91.796875	-75.048843
92.285156	-77.297310
92.773438	-76.073616
93.261719	-76.888580
93.750000	-75.467903
94.238281	-74.411819
94.726562	-76.407509
95.214844	-75.719177
95.703125	-77.438171
96.191406	-76.951859
96.679688	-75.728180
97.167969	-74.207634
97.656250	-76.888878
98.144531	-76.320038
98.632812	-75.763107
99.121094	-77.201561
99.609375	-76.202614
100.097656	-76.209328
100.585938	-76.152657
101.074219	-77.959236
101.562500	-75.764229
102.050781	-74.946068
102.539062	-75.563324
103.027344	-75.934395
103.515625	-73.775063
104.003906	-75.196167
104.492188	-75.751266
104.980469	-74.951363
105.468750	-75.237091
105.957031	-74.418167
106.445312	-75.192818
106.933594	-74.116997
107.421875	-75.917168
107.910156	-75.799286
108.398438	-76.694153
108.886719	-76.538719
109.375000	-74.153114
109.863281	-75.569656
110.351562	-75.760284
110.839844	-76.071678
111.328125	-78.615685
111.816406	-75.400314
112.304688	-75.903618
112.792969	-75.011513
113.281250	-73.328575
113.769531	-71.463036
114.257812	-68.728233
114.746094	-74.030426
115.234375	-74.664162
115.722656	-76.272514
116.210938	-75.870338
116.699219	-76.235504
117.187500	-76.669197
117.675781	-77.346977
118.164062	-75.508583
118.652344	-73.807465
119.140625	-76.755226
119.628906	-74.296143
