Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6900
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9102
Water Temp (deg C),24.20
Room Temp (deg C),25.15
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,24.20
30.00,24.19
60.00,24.20
90.00,24.22
120.00,24.21
150.00,24.22
180.00,24.22
210.00,24.21
240.00,24.23
270.00,24.21
300.00,24.20
330.00,24.85
360.00,25.91
390.00,26.70
420.00,27.19
450.00,27.53
480.00,27.72
510.00,27.79
540.00,27.85
570.00,27.89
600.00,27.91
630.00,27.92
660.00,27.94
690.00,27.93
720.00,27.92
750.00,27.93
780.00,27.91
810.00,27.93
840.00,27.90
870.00,27.90
900.00,27.93
930.00,27.90
960.00,27.89
